@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.3459,5.7221,2.3921,9.743,-0.7879,-1.0545,6.5149,2.5524,9.5332,-1.5945,9.9707,33.9217,5.8242,21.117,-0.0386,11.1292,22.9459,4.7902,18.5117,0.1062,0.328,-0.0347,-0.0311,-0.1058,-0.0948,0.8959,0.9372,0.4107,0.4994,0.4382,0.5328,1.2159,0.8783,0.1687,0.2494,0.1921,0.2839,1.4783,0.7328,5.4686,-1.9516,7.4624,-2.6631,-0.3569,1.4831,0.268,0.2631,0.1807,0.1774,0.9817,1.022,0.4614,0.5263,0.4514,0.515,1.1407,0.1045,14.2755,-0.0377,-0.7115,-0.6711,0.3595,0.3144,0.9828,7.0172,6.4079,2.5314,6.731,0.2992,2.0168,5.8567,2.4201,6.946,-0.2735,5.0398,5.1714,2.2741,6.2412,0.1877,3.4794,1.3923,0.4002,1.046,1.1131,1.0642,1.0941,1.2391,1.1325,-1.9263,1.9924,-1.0343,1.761,1.25,0.7098,0.969,1.0785,1.1129,0.0924,14.5427,-0.9793,-0.921,0.9745,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.888,6.5456,2.5584,12.9956,-1.0236,2.794,24.9907,4.9991,21.9766,-0.4253,9.3458,4.0258,2.0064,9.5385,0.2272,11.2315,5.3532,2.3137,14.9168,0.2116,0.3178,0.095,0.0791,0.299,0.2488,0.8321,0.5118,1.2751,1.1058,2.4915,2.1606,0.8672,0.2619,1.6259,1.2227,6.2077,4.6684,0.752,1.0024,-2.3436,-1.6417,-2.338,-1.6378,0.7005,0.4165,0.5203,0.3394,1.2491,0.8149,0.6524,0.5913,1.3624,0.8712,2.304,1.4733,0.6394,0.1031,15.9707,-0.5729,0.1502,-0.4241,-0.3793,0.4012,0.5281,5.8437,8.4678,2.91,7.6083,0.1811,2.7571,9.0861,3.0143,8.847,-0.3561,5.7968,3.2191,1.7942,4.7395,0.39,2.1195,1.0081,0.4756,0.9654,1.6219,1.68,0.932,2.6305,2.8226,-0.7241,0.555,-0.7665,1.4241,1.1956,0.8396,0.86,1.6053,1.8666,0.0914,15.1781,-0.942,-0.8922,0.9316,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8074,15.1393,3.8909,16.0474,-0.7268,5.0796,23.0881,4.805,25.7999,-0.2753,9.3031,14.7371,3.8389,14.108,0.0932,12.2057,16.9862,4.1214,21.1177,0.1014,0.1589,0.0868,0.0661,0.546,0.4162,0.7622,0.8098,1.0136,0.9441,1.2517,1.1659,0.9314,0.6557,1.0273,0.8913,1.5667,1.3592,0.8676,1.2129,-4.6554,-2.8352,-3.8384,-2.3376,0.609,0.4594,0.5973,0.3955,1.3003,0.8609,0.6621,0.622,1.1375,0.7599,1.8287,1.2217,0.6681,0.1119,18.1084,-0.7046,-0.1688,-0.4308,0.1182,0.6306,0.749,5.3593,11.4246,3.38,9.8321,-0.0301,4.0498,7.2127,2.6856,7.6649,-0.0901,5.4478,2.7146,1.6476,4.8274,0.3093,1.3233,0.9838,0.7434,1.2586,2.0515,1.63,1.584,4.2086,2.657,0.454,-0.1331,-0.2931,1.3574,1.3657,1.0061,1.2827,2.0367,1.5878,0.091,14.9275,-0.9599,-0.8886,0.9762,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0312,25.6423,5.0638,25.0521,-0.345,2.9193,43.4387,6.5908,24.2033,-0.4935,11.0989,41.9494,6.4768,25.6317,0.1244,14.0402,45.6117,6.7536,31.0703,0.1259,0.0107,0.0028,0.0022,0.263,0.2079,0.7905,0.7683,0.7818,0.7498,1.0176,0.9759,0.959,0.5903,0.6113,0.5622,1.0355,0.9524,0.9197,0.8035,-1.7645,-1.4359,-2.1959,-1.787,0.8138,1.1493,0.6363,0.524,0.5536,0.4559,0.8236,1.0351,0.9774,0.8063,0.9443,0.779,0.825,0.2391,20.5967,0.4018,0.4084,0.4915,-0.1755,0.1279,0.9205,3.6413,15.7728,3.9715,10.236,-0.347,2.6559,3.6827,1.919,6.3013,0.0959,7.1377,5.4545,2.3355,6.6579,0.3182,1.371,0.5102,0.3721,2.0695,1.7005,0.8217,4.283,2.8917,0.6752,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.1759,14.5147,0.7165,-0.8662,-0.9591,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1661,0.4551,0.6746,2.6808,-1.104,2.9952,1.6186,1.2722,4.8564,0.0597,9.8058,2.067,1.4377,5.6867,0.5687,10.3329,2.5237,1.5886,6.1454,0.5629,0.0554,0.0169,0.0161,0.3055,0.2899,0.949,0.5303,0.4692,0.4247,0.8849,0.8008,0.905,0.2812,0.2202,0.1803,0.783,0.6413,0.819,-4.5585,-0.1876,-0.1778,0.0411,0.039,0.9477,0.2467,0.0966,0.0906,0.3917,0.3674,0.9379,0.552,0.4714,0.4362,0.854,0.7902,0.9254,0.2331,13.4087,-0.3956,0.0369,-0.0454,0.4816,0.6252,0.9845,3.9778,1.4554,1.2064,4.2812,0.2855,2.0476,0.0189,0.1375,0.5039,0.7897,7.5862,0.7093,0.8422,2.6641,0.6913,1.9426,0.5243,0.2699,8.774,1.4324,0.1633,76.983,2.0518,0.0267,0.904,0.2868,0.3173,2.5004,0.6944,0.2777,8.4961,1.607,0.1891,0.2002,13.6117,-0.8741,-0.9489,0.7386,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.139,0.2084,0.4565,2.0191,-0.6888,10.6797,12.9357,3.5966,12.4584,0.2921,9.8753,11.3785,3.3732,11.5531,0.3101,14.5556,24.2539,4.9248,16.9594,0.3021,-0.013,-0.0141,-0.0096,1.0815,0.7337,0.6785,0.1269,0.1353,0.0927,1.0662,0.7303,0.6849,0.0161,0.0183,0.0086,1.1368,0.5333,0.4691,-0.1602,-0.1585,-0.1122,0.9897,0.7002,0.7075,0.0679,0.0714,0.0492,1.0509,0.7242,0.6892,0.1621,0.1748,0.1191,1.0784,0.7346,0.6812,0.2852,20.9618,0.4666,0.4033,0.4378,0.9952,0.999,0.9986,-5.6996,0.0281,0.1677,5.9163,?,7.7996,0.0136,0.1168,0.3871,0.9515,1.6868,0.0288,0.1697,0.4925,0.741,-0.7308,-3.3789,4.6238,1.4365,0.9884,0.6881,2.0634,0.9769,0.4734,-0.7794,-4.198,5.386,0,0,4.1948,15.2838,12.0134,0.786,0.1923,15.1861,0.9534,0.3076,0.0064,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0937,1.3189,1.1484,4.9362,-2.484,-9.2515,4.7051,2.1691,15.3738,?,11.4139,4.9802,2.2316,7.4925,0.5191,14.8385,7.888,2.8086,10.1778,0.5093,0.1182,-0.0958,-0.0737,-0.8105,-0.6235,0.7692,0.5294,0.5146,0.4089,0.972,0.7723,0.7946,0.2803,0.2648,0.1672,0.9448,0.5965,0.6314,0.2289,-0.4351,-0.3331,-1.9007,-1.4552,0.7656,0,0.0909,0.0683,0,0,0.7512,0.3211,0.6588,0.485,2.0519,1.5105,0.7362,0.2889,22.0274,0.2767,0.2912,0.0198,-0.6269,-0.8845,0.9166,7.5953,0.2412,0.4911,1.3933,0.8333,-6.1247,0.4301,0.6559,6.9039,?,0.5237,0.0847,0.2911,1.1242,0.1492,-1.2401,14.504,-11.6957,0.7488,1.6871,2.253,0.5607,2.8462,5.0759,-1.009,35.3364,-35.0205,0,6.3267,0,0.2018,1.2394,6.1414,0.1916,14.2437,0.997,0.9372,0.9522,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4234,1.888,1.3741,5.953,-0.6039,4.4457,8.6846,2.947,11.2011,-0.1688,8.2117,4.5193,2.1259,9.851,0.2685,9.8563,5.3222,2.307,10.639,0.267,0.0952,0.0516,0.043,0.5414,0.4511,0.8331,0.4663,0.6464,0.5956,1.3862,1.2774,0.9215,0.2174,0.4178,0.3548,1.9216,1.6318,0.8492,1.3853,-0.6199,-0.5785,-0.4475,-0.4176,0.9333,0.3873,0.2756,0.2557,0.7116,0.6603,0.9279,0.5315,0.6043,0.5595,1.1371,1.0528,0.9259,0.0994,13.9824,0.0575,-0.3039,-0.0982,0.1727,0.7315,0.7767,6.7945,2.2873,1.5124,5.4521,0.4217,6.0536,3.0617,1.7498,5.9072,0.3127,-2.6473,1.0049,1.0024,4.1738,-15.6726,1.1224,-2.5666,-2.2867,0.8643,1.5087,1.7455,0.7471,2.2761,3.0468,1.4791,-1.0133,-0.6851,1.0969,37.6604,34.334,0.923,1.3063,1.4153,0.1008,15.5031,-0.9937,0.4273,-0.4292,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0564,0.0334,0.1828,0.7208,-1.0098,10.3605,0.5073,0.7122,2.3602,0.7951,8.9384,0.284,0.5329,1.7895,0.8175,13.6852,0.7766,0.8813,2.9227,0.8068,-0.0054,-0.0063,-0.0041,1.1591,0.7571,0.6531,0.2567,0.343,0.2074,1.3366,0.8082,0.6047,0.0659,0.1177,0.043,1.7865,0.6532,0.3656,-0.0395,-0.0452,-0.0297,1.1428,0.7504,0.6567,0.0311,0.0366,0.0237,1.1749,0.7615,0.6481,0.3054,0.4028,0.2466,1.3189,0.8075,0.6123,0.1471,19.4657,0.6792,0.5365,0.6272,0.9722,0.9956,0.9897,7.4066,0.0005,0.0215,0.0795,0.9893,6.3307,0.001,0.0321,0.0958,0.985,-1.1084,0.0054,0.0732,1.2092,?,1.17,-6.6824,-5.7117,0.6683,0.2936,0.4393,0.4466,0.0862,0.193,1.1743,-6.095,-5.1905,1.1691,0,0,0.83,0.0657,0.0792,0.1054,14.8457,-0.9335,-0.347,0.673,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.4629,4.667,2.1603,10.0615,-0.7689,7.4222,80.2517,8.9583,33.9986,-0.1934,10.7105,26.7694,5.1739,19.4244,-0.0886,14.784,63.1408,7.9461,30.8063,0.0851,-0.0624,-0.0432,-0.0313,0.693,0.502,0.7245,0.2412,0.4175,0.2719,1.7314,1.1274,0.6511,0.0582,0.1743,0.0739,2.9979,1.271,0.424,0.7936,2.7673,-1.5254,3.4869,-1.9221,-0.5512,0.1997,0.3188,0.1689,1.5965,0.846,0.5299,0.2959,0.518,0.3266,1.7503,1.1036,0.6305,0.1402,21.0073,-0.014,0.0496,0.0202,0.4754,0.8709,0.8048,5.7617,3.6052,1.8987,5.3153,0.315,7.4969,1.9597,1.3999,3.6703,0.6133,-0.8198,0.5335,0.7304,2.121,-5.3652,0.7685,-7.0279,-9.1444,1.3563,2.5996,1.9167,1.8397,6.7581,3.6736,0.4199,-1.3674,-3.2562,0.8176,23.2876,28.4846,1.4482,2.506,1.7304,0.102,14.1588,-0.9833,-0.9446,0.9601,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
