@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-2.0242,11.8579,3.4435,14.9527,-1.3172,-1.3668,19.6343,4.4311,18.3345,-1.5107,9.462,10.1695,3.189,12.1822,0.219,11.1877,11.9922,3.463,13.8997,0.2276,1.4809,-0.2139,-0.1809,-0.1445,-0.1222,0.8458,0.7771,1.0798,0.9944,1.3895,1.2796,0.9209,0.6039,1.166,0.9888,1.9307,1.6373,0.848,0.7705,-2.4886,-2.0758,-3.23,-2.6942,0.8341,0.8836,0.4137,0.3586,0.4682,0.4058,0.8668,0.8155,1.2274,1.0758,1.505,1.3191,0.8764,0.1994,16.7818,0.2929,0.1351,0.0284,-0.5027,-0.5909,0.9231,-0.4479,0.8004,0.8947,3.6676,-1.7094,-2.5385,1.2934,1.1373,4.7403,?,2.3761,2.6288,1.6214,4.97,-0.0035,0.1764,-0.1885,-1.0684,0.7867,0.5518,0.7014,0.6189,0.3045,0.492,0.4881,135.2857,277.1429,0,0.2733,0,0.7737,0.738,0.9538,0.0715,5.7368,-0.0684,-0.5708,-0.5211,?,?,?,?,?,DAVANTI_PANTALONI
0.566,7.9801,2.8249,7.8882,-0.8598,-2.0519,16.489,4.0607,13.5734,-1.5494,8.9552,11.7274,3.4245,11.0843,0.1962,10.6253,8.0253,2.8329,9.2703,0.3559,-0.2758,0.0632,0.0533,-0.2291,-0.1931,0.8428,0.6957,0.8249,0.9972,1.1858,1.4334,1.2088,0.484,0.6805,0.9944,1.406,2.0546,1.4613,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.3076,0.2947,0.3861,0.3699,0.9581,0.5812,0.7117,0.8509,1.2246,1.4642,1.1957,0.2092,15.7379,-0.5856,-0.9412,-0.8846,0.5324,0.3837,0.9508,0.9948,0.9217,0.9601,2.7855,-0.1686,-3.0161,4.2299,2.0567,5.9901,?,1.1802,1.3864,1.1774,3.2278,-0.202,-0.3298,0.8429,-2.5557,0.4668,0.8154,1.7467,0.2179,0.6649,3.0511,0.0671,0.741,11.0428,0,0.8876,0,0.465,0.863,1.8558,0.077,5.501,-0.8509,0.0298,-0.0408,125000,0,0,0,1,DAVANTI_PANTALONI
0.1573,0.5571,0.7464,2.5706,-0.6254,9.1347,4.1684,2.0417,6.6675,0.4847,9.7724,5.1729,2.2744,6.9904,0.5005,13.4023,9.246,3.0407,9.5077,0.5016,0.0172,0.0161,0.0117,0.9347,0.6816,0.7292,0.3656,0.3282,0.2455,0.8977,0.6714,0.748,0.1336,0.1077,0.0603,0.8058,0.4508,0.5595,-0.1577,-0.1412,-0.1034,0.8951,0.6553,0.7321,0.1222,0.113,0.0829,0.9244,0.6782,0.7336,0.3855,0.3677,0.2704,0.9538,0.7013,0.7352,0.2676,19.5381,0.4258,0.2668,0.3462,0.981,0.9949,0.9955,-0.1021,0.0085,0.092,0.3698,-14.773,-0.0094,0.0587,0.2423,0.7898,-1.0815,0.1446,0.0072,0.0846,0.3198,-0.1494,10.8838,-0.706,-0.0649,0.3799,1.0876,2.8628,0.1443,1.183,8.1959,0.8442,8.3333,9.8717,0.0618,0.0843,1.364,0.4683,1.1567,2.47,0.0035,0.4737,-0.505,0.0211,0.019,1100,0,0,0,1,DAVANTI_PANTALONI
-0.5572,5.4847,2.342,7.5356,-1.1349,-2.6599,5.0547,2.2483,9.5542,-2.2334,11.166,10.1003,3.1781,11.5826,0.209,11.9464,9.9878,3.1603,11.1538,0.27,0.2095,-0.0499,-0.0466,-0.2382,-0.2227,0.9347,1.0417,0.7369,0.741,0.7074,0.7114,1.0056,1.0851,0.543,0.5491,0.5004,0.5061,1.0113,0.607,-1.3091,-0.9711,-2.1566,-1.5998,0.7418,1.1946,0.2411,0.231,0.2018,0.1934,0.9584,0.7887,0.6506,0.6756,0.8249,0.8566,1.0384,0.2253,16.4241,0.2583,-0.7619,-0.7591,-0.6797,-0.7303,0.9944,-0.1749,1.0318,1.0158,4.1856,-1.1708,-1.6327,1.4518,1.2049,4.6482,-28.8699,1.5069,0.4435,0.666,2.4003,0.0376,0.1071,-0.116,-1.0835,0.843,1.5253,1.8093,0.7107,2.3265,3.2735,0.5025,-24.0683,-47.8979,12.3904,0.7731,0.0624,0.9005,1.7438,1.9365,0.0437,3.9978,0.1023,-0.793,-0.3834,1100,0,0,0,1,DAVANTI_PANTALONI
-1.5824,15.0801,3.8833,16.9943,-2.4911,-8.4042,79.9864,8.9435,29.7588,-4.0988,9.9319,53.3942,7.3071,22.7101,0.0515,15.9159,66.9213,8.1805,24.4786,0.1802,0.1883,-0.1593,-0.0994,-0.8462,-0.528,0.624,0.4342,0.5314,0.4747,1.2239,1.0933,0.8932,0.1885,0.2824,0.2253,1.498,1.1952,0.7979,0.5069,-9.8336,-2.2532,-19.3992,-4.445,0.2291,0.8341,0.2033,0.163,0.2438,0.1955,0.8018,0.5711,0.7483,0.6942,1.3104,1.2157,0.9278,0.2675,22.6152,0.3266,-0.6034,-0.656,0.0535,-0.6432,0.6897,-0.8285,0.4314,0.6568,2.7365,-3.8657,-1.636,7.3117,2.704,9.6194,-1.3949,2.8393,5.254,2.2922,7.2365,-0.1486,0.5064,-0.2918,-0.5762,0.2429,0.2865,1.1797,0.059,0.0821,1.3917,0.388,2.3226,5.9855,0.14,0.0893,0.6375,0.2845,0.3782,1.3293,0.069,6.8317,-0.2598,0.3981,0.3367,1100,0,0,0,1,DIETRO_PANTALONI
2.4885,13.8108,3.7163,14.0091,-0.4146,-8.0715,219.9477,14.8306,45.1098,-5.014,9.8508,48.0724,6.9334,22.6019,0.0376,16.7871,168.4029,12.977,42.0531,0.0516,-0.3083,0.2526,0.1482,-0.8194,-0.4808,0.5868,0.2506,0.536,0.2864,2.139,1.1428,0.5343,0.0628,0.2873,0.082,4.5753,1.3061,0.2855,0.1092,-4.6492,-1.7951,-42.5852,-16.443,0.3861,1.3203,0.4217,0.2233,0.3194,0.1692,0.5297,0.3106,0.6198,0.3331,1.9958,1.0727,0.5375,0.2648,25.6542,-0.4455,0.1978,0.3071,-0.8397,-0.9252,0.9714,-0.2679,0.368,0.6066,2.4278,-2.6395,-0.5955,5.8652,2.4218,7.9596,-0.6985,3.5971,7.5497,2.7477,8.1252,-0.0788,0.4499,-0.0745,-0.1655,0.2505,0.2208,0.8814,0.0627,0.0487,0.7769,0.5379,2.9682,5.5179,0.1423,0.0886,0.6222,0.305,0.2988,0.9796,0.0746,6.4832,0.4935,0.0999,0.6679,1100,0,0,0,1,DIETRO_PANTALONI
-2.4266,28.3814,5.3274,22.4492,-2.1194,-6.1682,86.3412,9.292,31.2746,-2.4772,11.2272,91.2338,9.5516,30.2799,0.0017,16.7921,93.9653,9.6936,31.7944,0.0755,0.3934,-0.2161,-0.1445,-0.5494,-0.3673,0.6686,0.5733,0.5577,0.5496,0.9728,0.9586,0.9854,0.3287,0.3111,0.302,0.9464,0.9189,0.9709,0.6846,-294.8051,-5.8729,-430.6426,-8.579,0.0199,0.8001,0.2373,0.2093,0.2965,0.2615,0.882,0.7178,0.7414,0.7061,1.0328,0.9836,0.9524,0.2661,24.9433,0.6365,-0.3926,-0.598,0.2556,-0.1615,0.8821,-0.5936,0.9336,0.9662,3.8313,-1.6959,-1.0554,13.8342,3.7194,10.5177,-0.9351,3.784,9.2779,3.046,9.7038,-0.2005,0.5624,-0.1569,-0.2789,0.2598,0.3172,1.2211,0.0675,0.1006,1.4911,0.4742,1.4871,3.136,0.2615,0.1758,0.6724,0.3643,0.3948,1.0839,0.0811,8.7673,0.7788,0.3593,0.5646,1100,0,0,0,1,DIETRO_PANTALONI
1.8347,33.2806,5.7689,22.0728,-1.1952,-7.6879,106.5667,10.3231,33.8576,-7.9915,11.6013,73.754,8.588,27.3837,0.0705,16.2376,147.0015,12.1244,37.1874,0.1079,-0.2386,0.1581,0.113,-0.6627,-0.4735,0.7145,0.5588,0.6717,0.4758,1.202,0.8514,0.7083,0.3123,0.4512,0.2264,1.4449,0.7249,0.5017,0.3994,-5.7904,-2.6719,-14.4988,-6.6902,0.4614,2.6703,0.3413,0.2412,0.1278,0.0903,0.7067,0.6519,0.8061,0.5936,1.2364,0.9105,0.7364,0.2865,25.1947,0.0452,-0.4375,-0.246,-0.8797,-0.9635,0.9697,-0.4925,4.0903,2.0225,7.2754,-3.5079,-1.9843,2.3986,1.5487,6.1331,-2.3873,3.0239,12.797,3.5773,10.3395,-0.1118,0.2482,-0.1629,-0.6562,1.3059,0.5654,0.4329,1.7053,0.3196,0.1874,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0745,6.6861,0.1762,-0.612,-0.1002,?,?,?,?,?,DIETRO_PANTALONI
-0.845,10.5583,3.2494,13.0618,-1.568,8.6763,26.1395,5.1127,22.2482,0.0237,10.7899,3.3022,1.8172,8.0289,0.497,14.6318,18.3248,4.2807,18.1237,0.3486,-0.0974,-0.0783,-0.0578,0.8041,0.593,0.7374,0.6355,1.7881,0.7591,2.8135,1.1943,0.4245,0.4039,3.1974,0.5762,7.9158,1.4265,0.1802,-14.743,-1.0052,-0.8222,0.0682,0.0558,0.818,0.2232,0.3186,0.1828,1.4276,0.819,0.5737,0.5871,1.6268,0.7207,2.771,1.2276,0.443,0.2951,22.0382,0.5204,0.1393,0.3153,0.7033,0.9307,0.8699,-0.03,0.5427,0.7367,3.1136,-1.5639,-0.4393,2.0447,1.4299,6.0466,-1.2458,-1.0579,0.4938,0.7027,3.2812,-30.0931,0.0683,0.0284,0.4153,0.5152,1.0484,2.0348,0.2654,1.099,4.1406,0.5662,0.598,1.0562,0.451,11.5075,25.5137,0.5149,0.9489,1.8428,0.0244,2.8473,0.436,0.3658,0.0829,1100,0,0,0,1,DAVANTI_PANTALONI
0.1628,0.0538,0.2319,0.9445,-0.4529,5.1541,0.308,0.555,2.5656,0.5878,9.0308,0.3619,0.6015,2.1489,0.7796,10.421,0.2719,0.5214,2.0058,0.8223,0.0316,0.018,0.0156,0.5707,0.4946,0.8666,0.4178,0.3855,0.4447,0.9225,1.0643,1.1536,0.1746,0.1486,0.1978,0.8511,1.1327,1.3309,-0.0805,-0.0387,-0.0317,0.4814,0.3942,0.8189,0.1044,0.0667,0.0576,0.6384,0.5514,0.8637,0.3681,0.4395,0.4709,1.1939,1.2791,1.0713,0.2213,14.4163,0.6405,-0.3556,-0.0147,-0.2526,0.2607,0.8674,0.7464,0.0337,0.1835,0.6665,0.3994,0.7025,0.0065,0.0807,0.2927,0.6578,-0.1349,0.0069,0.083,0.3258,-24.8475,1.0626,-5.5338,-5.2078,2.2736,2.2115,0.9727,5.1691,4.8908,0.9462,0.7877,-1.4152,-1.7966,1.2975,88.046,67.8608,2.2774,2.0459,0.8984,0.022,1.5847,0.914,-0.1231,0.0257,1100,0,0,0,1,DAVANTI_PANTALONI
