@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-2.0242,11.8579,3.4435,14.9527,-1.3172,-1.3668,19.6343,4.4311,18.3345,-1.5107,9.462,10.1695,3.189,12.1822,0.219,11.1877,11.9922,3.463,13.8997,0.2276,1.4809,-0.2139,-0.1809,-0.1445,-0.1222,0.8458,0.7771,1.0798,0.9944,1.3895,1.2796,0.9209,0.6039,1.166,0.9888,1.9307,1.6373,0.848,0.7705,-2.4886,-2.0758,-3.23,-2.6942,0.8341,0.8836,0.4137,0.3586,0.4682,0.4058,0.8668,0.8155,1.2274,1.0758,1.505,1.3191,0.8764,0.1994,16.7818,0.2929,0.1351,0.0284,-0.5027,-0.5909,0.9231,5.2891,8.3778,2.8944,7.9697,0.0941,0.7948,11.8341,3.4401,10.5937,-1.7024,6.383,6.6101,2.571,7.6428,0.1623,6.6547,0.8286,0.1245,0.8414,1.1258,1.338,0.7079,1.2674,1.7903,-0.1241,0.5591,-4.5064,2.2442,0.9643,0.4297,0.7523,1.0428,1.3861,0.17,14.8682,-0.7653,-0.8487,0.9871,2.5714,0.6939,0.833,2,0.5,DESTRA_PANTALONI
0.566,7.9801,2.8249,7.8882,-0.8598,-2.0519,16.489,4.0607,13.5734,-1.5494,8.9552,11.7274,3.4245,11.0843,0.1962,10.6253,8.0253,2.8329,9.2703,0.3559,-0.2758,0.0632,0.0533,-0.2291,-0.1931,0.8428,0.6957,0.8249,0.9972,1.1858,1.4334,1.2088,0.484,0.6805,0.9944,1.406,2.0546,1.4613,0.4421,-1.3477,-0.7119,-3.0485,-1.6104,0.5283,0.7966,0.3076,0.2947,0.3861,0.3699,0.9581,0.5812,0.7117,0.8509,1.2246,1.4642,1.1957,0.2092,15.7379,-0.5856,-0.9412,-0.8846,0.5324,0.3837,0.9508,4.25,2.9847,1.7276,5.6465,0.2587,0.3309,0.1851,0.4302,1.1719,-0.2397,7.0876,1.748,1.3221,4.6055,0.5133,12.8428,0.5996,0.0467,4.0159,1.3067,0.3254,16.1277,1.7075,0.1059,-8.6983,0.4057,-0.0466,8.0579,0.805,0.0999,4.8183,1.226,0.2545,0.188,11.763,-0.7,-0.936,0.8294,1,0,0,0,1,DESTRA_PANTALONI
0.1573,0.5571,0.7464,2.5706,-0.6254,9.1347,4.1684,2.0417,6.6675,0.4847,9.7724,5.1729,2.2744,6.9904,0.5005,13.4023,9.246,3.0407,9.5077,0.5016,0.0172,0.0161,0.0117,0.9347,0.6816,0.7292,0.3656,0.3282,0.2455,0.8977,0.6714,0.748,0.1336,0.1077,0.0603,0.8058,0.4508,0.5595,-0.1577,-0.1412,-0.1034,0.8951,0.6553,0.7321,0.1222,0.113,0.0829,0.9244,0.6782,0.7336,0.3855,0.3677,0.2704,0.9538,0.7013,0.7352,0.2676,19.5381,0.4258,0.2668,0.3462,0.981,0.9949,0.9955,-6.7197,0.0404,0.2011,6.9614,?,6.9776,0.03,0.1733,0.4551,0.9369,1.5225,0.0134,0.1157,0.3934,0.7824,-0.963,-4.4136,4.5829,1.1602,1.7376,1.4976,1.3461,3.0192,2.2429,-1.0302,-4.9228,4.7784,0,0,3.9902,15.298,17.6963,1.1568,0.1961,15.2198,0.9931,0.7792,0.7031,4.0472,0,0,0,1,DESTRA_PANTALONI
-0.5572,5.4847,2.342,7.5356,-1.1349,-2.6599,5.0547,2.2483,9.5542,-2.2334,11.166,10.1003,3.1781,11.5826,0.209,11.9464,9.9878,3.1603,11.1538,0.27,0.2095,-0.0499,-0.0466,-0.2382,-0.2227,0.9347,1.0417,0.7369,0.741,0.7074,0.7114,1.0056,1.0851,0.543,0.5491,0.5004,0.5061,1.0113,0.607,-1.3091,-0.9711,-2.1566,-1.5998,0.7418,1.1946,0.2411,0.231,0.2018,0.1934,0.9584,0.7887,0.6506,0.6756,0.8249,0.8566,1.0384,0.2253,16.4241,0.2583,-0.7619,-0.7591,-0.6797,-0.7303,0.9944,7.3911,1.9679,1.4028,4.5351,0.4731,-1.2784,4.8044,2.1919,6.7263,-1.0671,5.4827,3.1284,1.7687,4.9785,0.4009,-5.7817,1.3481,-0.2332,0.64,0.7931,1.2392,0.4096,0.629,1.5357,-1.1727,1.2222,-1.0421,2.6452,1.0357,0.3915,0.6742,0.9109,1.3511,0.1822,15.1735,-0.9743,-0.9488,0.9728,4.0949,0,0,0,1,DESTRA_PANTALONI
-1.5824,15.0801,3.8833,16.9943,-2.4911,-8.4042,79.9864,8.9435,29.7588,-4.0988,9.9319,53.3942,7.3071,22.7101,0.0515,15.9159,66.9213,8.1805,24.4786,0.1802,0.1883,-0.1593,-0.0994,-0.8462,-0.528,0.624,0.4342,0.5314,0.4747,1.2239,1.0933,0.8932,0.1885,0.2824,0.2253,1.498,1.1952,0.7979,0.5069,-9.8336,-2.2532,-19.3992,-4.445,0.2291,0.8341,0.2033,0.163,0.2438,0.1955,0.8018,0.5711,0.7483,0.6942,1.3104,1.2157,0.9278,0.2675,22.6152,0.3266,-0.6034,-0.656,0.0535,-0.6432,0.6897,5.908,6.0193,2.4534,7.3129,0.215,0.5608,18.5779,4.3102,13.5781,-1.4156,5.4551,6.5831,2.5658,6.7828,0.1742,10.5356,1.083,0.1028,0.5692,0.9562,1.6799,0.324,0.9144,2.8221,-0.2517,1.4001,-5.5616,1.6573,1.1342,0.6844,0.5386,1.0781,2.0018,0.1645,15.2009,-0.615,-0.7867,0.9217,56.8776,141.8625,11.9106,32,0.5556,DESTRA_PANTALONI
2.4885,13.8108,3.7163,14.0091,-0.4146,-8.0715,219.9477,14.8306,45.1098,-5.014,9.8508,48.0724,6.9334,22.6019,0.0376,16.7871,168.4029,12.977,42.0531,0.0516,-0.3083,0.2526,0.1482,-0.8194,-0.4808,0.5868,0.2506,0.536,0.2864,2.139,1.1428,0.5343,0.0628,0.2873,0.082,4.5753,1.3061,0.2855,0.1092,-4.6492,-1.7951,-42.5852,-16.443,0.3861,1.3203,0.4217,0.2233,0.3194,0.1692,0.5297,0.3106,0.6198,0.3331,1.9958,1.0727,0.5375,0.2648,25.6542,-0.4455,0.1978,0.3071,-0.8397,-0.9252,0.9714,6.562,4.3702,2.0905,7.9018,0.157,0.3703,24.6623,4.9661,13.8209,-1.6282,4.6503,2.2432,1.4977,4.584,0.3531,17.7206,1.4111,0.0796,0.421,1.3958,3.3157,0.1772,1.9482,10.9941,-0.1718,0.5881,-3.4225,1.7824,1.3228,0.7422,0.5717,1.7238,3.015,0.1643,15.6815,0.1366,-0.575,0.7233,163.1633,564.7898,23.7653,65,0.6667,DESTRA_PANTALONI
-2.4266,28.3814,5.3274,22.4492,-2.1194,-6.1682,86.3412,9.292,31.2746,-2.4772,11.2272,91.2338,9.5516,30.2799,0.0017,16.7921,93.9653,9.6936,31.7944,0.0755,0.3934,-0.2161,-0.1445,-0.5494,-0.3673,0.6686,0.5733,0.5577,0.5496,0.9728,0.9586,0.9854,0.3287,0.3111,0.302,0.9464,0.9189,0.9709,0.6846,-294.8051,-5.8729,-430.6426,-8.579,0.0199,0.8001,0.2373,0.2093,0.2965,0.2615,0.882,0.7178,0.7414,0.7061,1.0328,0.9836,0.9524,0.2661,24.9433,0.6365,-0.3926,-0.598,0.2556,-0.1615,0.8821,5.3568,8.0259,2.833,9.2926,0.0133,0.6323,32.7446,5.7223,15.1202,-1.1878,4.8664,2.7079,1.6456,4.8836,0.2904,8.4715,1.1008,0.1299,0.4951,1.7216,3.4774,0.2451,2.9639,12.0921,-0.0153,0.0628,-4.1068,1.3627,1.3684,1.0041,0.6146,1.9028,3.0961,0.1483,15.5151,-0.0994,-0.7624,0.6707,140.4286,2050.8972,45.2868,108,0.4255,DESTRA_PANTALONI
1.8347,33.2806,5.7689,22.0728,-1.1952,-7.6879,106.5667,10.3231,33.8576,-7.9915,11.6013,73.754,8.588,27.3837,0.0705,16.2376,147.0015,12.1244,37.1874,0.1079,-0.2386,0.1581,0.113,-0.6627,-0.4735,0.7145,0.5588,0.6717,0.4758,1.202,0.8514,0.7083,0.3123,0.4512,0.2264,1.4449,0.7249,0.5017,0.3994,-5.7904,-2.6719,-14.4988,-6.6902,0.4614,2.6703,0.3413,0.2412,0.1278,0.0903,0.7067,0.6519,0.8061,0.5936,1.2364,0.9105,0.7364,0.2865,25.1947,0.0452,-0.4375,-0.246,-0.8797,-0.9635,0.9697,4.6637,5.4922,2.3435,6.5182,0.2133,0.7446,17.7554,4.2137,12.7285,-2.0268,6.7544,4.8694,2.2067,6.1076,0.3362,6.2637,0.6905,0.1102,0.5562,1.062,1.9095,0.3093,1.1279,3.6463,-0.2074,0.5713,-2.7549,1.9703,0.9005,0.457,0.5121,1.0672,2.084,0.1682,15.2823,-0.3605,-0.7581,0.8569,406.4694,6445.5132,80.284,208,0.5419,DESTRA_PANTALONI
-0.845,10.5583,3.2494,13.0618,-1.568,8.6763,26.1395,5.1127,22.2482,0.0237,10.7899,3.3022,1.8172,8.0289,0.497,14.6318,18.3248,4.2807,18.1237,0.3486,-0.0974,-0.0783,-0.0578,0.8041,0.593,0.7374,0.6355,1.7881,0.7591,2.8135,1.1943,0.4245,0.4039,3.1974,0.5762,7.9158,1.4265,0.1802,-14.743,-1.0052,-0.8222,0.0682,0.0558,0.818,0.2232,0.3186,0.1828,1.4276,0.819,0.5737,0.5871,1.6268,0.7207,2.771,1.2276,0.443,0.2951,22.0382,0.5204,0.1393,0.3153,0.7033,0.9307,0.8699,6.6702,1.0646,1.0318,2.8798,0.639,6.8657,1.1229,1.0597,3.431,0.5857,1.463,0.2447,0.4946,2.2917,0.2706,0.9715,4.5593,4.6929,0.9737,2.0859,2.1423,0.948,4.3509,4.5894,1.051,5.9961,5.7053,0.9633,2.539,2.6358,0.8394,1.2566,1.4971,0.206,14.9989,-0.9783,0.1075,-0.2914,3.1702,0.4391,0.6627,2,0.5,SINISTRA_PANTALONI
0.1628,0.0538,0.2319,0.9445,-0.4529,5.1541,0.308,0.555,2.5656,0.5878,9.0308,0.3619,0.6015,2.1489,0.7796,10.421,0.2719,0.5214,2.0058,0.8223,0.0316,0.018,0.0156,0.5707,0.4946,0.8666,0.4178,0.3855,0.4447,0.9225,1.0643,1.1536,0.1746,0.1486,0.1978,0.8511,1.1327,1.3309,-0.0805,-0.0387,-0.0317,0.4814,0.3942,0.8189,0.1044,0.0667,0.0576,0.6384,0.5514,0.8637,0.3681,0.4395,0.4709,1.1939,1.2791,1.0713,0.2213,14.4163,0.6405,-0.3556,-0.0147,-0.2526,0.2607,0.8674,7.2911,0.001,0.0314,0.144,0.9804,6.3865,0.0008,0.0276,0.1316,0.9796,-1.4881,0.0035,0.059,1.552,?,1.1416,-4.8995,-4.2917,1.1389,0.5323,0.4674,1.2971,0.2834,0.2185,1.1406,-4.6539,-4.0803,1.1396,0,0,1.0943,0.0928,0.0848,0.2086,15.1658,-0.9439,0.7123,-0.4432,1,0,0,0,1,SINISTRA_PANTALONI
