@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
0.0991,0.1023,0.3199,3.962,-0.7481,0.1055,0.1005,0.317,2.9125,-0.4544,0.0804,0.1564,0.3955,3.8215,-0.66,0.3834,0.2397,0.4896,2.7489,0.0148,0.9396,1.2331,0.2584,1.3123,0.2751,0.2096,1.0091,0.8088,0.6534,0.8015,0.6475,0.8079,1.0183,0.6541,0.427,0.6424,0.4193,0.6527,1.8634,1.1159,-41.107,0.5989,-22.0608,-36.8362,1.1318,0.9845,0.8123,0.8699,0.7177,0.8251,1.3603,1.0368,1.4413,0.7621,1.0595,1.3902,0.0008,0.5809,0.2512,-0.129,0.5833,-0.3113,0.5842,0.0168,?,?,?,?,?,DIETRO_PANTALONI
-0.2331,4.2417,2.0595,14.2673,-0.658,-0.7494,3.3741,1.8369,16.2676,-0.485,-0.3058,8.4246,2.9025,25.3823,-0.2955,3.1549,6.7965,2.607,20.077,0.0164,0.311,0.7622,-0.0739,2.4505,-0.2375,-0.0969,1.1212,0.7096,0.79,0.6329,0.7046,1.1134,1.2571,0.5035,0.6241,0.4005,0.4965,1.2396,1.0657,0.978,-16.9213,0.9177,-15.8781,-17.3017,0.7855,0.4392,0.4216,0.5591,0.5367,0.9599,0.877,0.5621,0.7106,0.6409,0.8103,1.2642,0.0044,4.8272,0.3261,0.2357,0.3547,0.0492,-0.1241,0.3761,?,?,?,?,?,DAVANTI_PANTALONI
0.1,0.0308,0.1756,2.413,-0.7149,0.0434,0.1674,0.4092,5.5613,-1.0992,0.0077,0.0746,0.2731,3.8618,-1.3858,0.2716,0.211,0.4594,3.9246,0.0029,2.3018,12.9171,0.3681,5.6116,0.1599,0.0285,0.4291,0.6429,0.3822,1.4985,0.8908,0.5945,0.1841,0.4134,0.1461,2.2454,0.7935,0.3534,0.3454,0.4484,-88.4619,1.2982,-256.0903,-197.2663,0.5311,0.8693,0.3575,1.6367,0.6731,0.4113,0.4339,0.6248,0.6148,1.4401,1.417,0.984,0.0006,0.4187,-0.9381,-0.9262,-0.0827,0.9051,0.0975,0.0022,?,?,?,?,?,DAVANTI_PANTALONI
-0.1835,3.3465,1.8293,8.7539,-0.9605,-0.6137,5.12,2.2627,11.8072,-0.6733,-0.2389,3.8327,1.9577,12.443,-0.3822,3.1607,2.7767,1.6663,11.7193,0.0456,0.299,0.768,-0.058,2.5688,-0.1942,-0.0756,0.8085,0.9344,1.0978,1.1558,1.3579,1.1749,0.6536,0.8731,1.2052,1.3359,1.8439,1.3803,0.9027,1.2464,-7.6662,1.3808,-8.4925,-6.1504,0.6328,0.496,0.3636,0.7838,0.5747,0.7332,0.7414,0.7035,0.747,0.9489,1.0075,1.0618,0.0036,4.8617,0.2594,0.4419,0.0506,0.5797,-0.017,0.077,?,?,?,?,?,DAVANTI_PANTALONI
0.0501,0.0065,0.0805,0.6995,-0.1888,-0.1834,0.0551,0.2348,2.9173,-0.88,-0.0251,0.0154,0.1241,1.5726,-1.2026,0.2692,0.0413,0.2032,1.7784,0.0156,-0.2734,-1.9955,0.1862,7.2991,-0.6812,-0.0933,0.3428,0.6483,0.396,1.8913,1.1553,0.6108,0.1175,0.4203,0.1568,3.577,1.3346,0.3731,0.0814,0.1294,-3.9414,1.5903,-48.4367,-30.4576,0.3792,0.8241,0.3257,2.1733,0.8589,0.3952,0.2398,0.4448,0.3933,1.855,1.6403,0.8843,0.001,0.3731,0.5604,0.3801,0.2593,0.6619,0.0506,-0.029,?,?,?,?,?,DAVANTI_PANTALONI
-0.1081,0.0032,0.0563,0.3298,-7.5142,-0.0832,0.0031,0.0553,0.2703,-3.6568,0.0154,0.0024,0.049,0.2657,-0.8263,0.1518,0.0044,0.0665,0.339,0.0745,1.2994,-7.0392,-0.712,-5.4171,-0.5479,0.1012,1.0179,1.1495,0.8465,1.1293,0.8316,0.7364,1.036,1.3213,0.7166,1.2753,0.6916,0.5423,1.3712,2.4212,-10.6693,1.7658,-7.781,-4.4066,0.6673,0.2663,0.1058,0.399,0.1585,0.3972,1.22,1.2413,0.9729,1.0174,0.7974,0.7838,0.0007,0.2354,0.7088,-0.2158,-0.9359,0.4296,-0.81,0.0232,?,?,?,?,?,DAVANTI_PANTALONI
0.2127,1.4068,1.1861,6.4045,-0.4698,2.561,4.4659,2.1133,6.6272,-0.0896,1.1251,5.4453,2.3335,9.0639,-0.2325,3.4297,7.4252,2.7249,9.9502,0.0516,0.083,0.189,0.062,2.2761,0.7467,0.3281,0.5612,0.5083,0.4353,0.9056,0.7755,0.8564,0.315,0.2583,0.1895,0.8201,0.6015,0.7334,3.7556,1.1974,-3.7833,0.3188,-1.0074,-3.1597,0.7164,0.5925,0.4153,0.827,0.5797,0.701,0.9664,0.7066,0.6437,0.7312,0.666,0.9109,0.1275,4.8504,0.4816,0.5052,0.5698,0.4126,0.887,0.7494,?,?,?,?,?,DAVANTI_PANTALONI
0.1307,13.8107,3.7163,28.3953,-2.0196,-0.32,9.6513,3.1067,21.5057,-0.8848,-0.3618,17.4166,4.1733,48.8168,-1.5051,4.1933,23.5456,4.8524,30.1001,0.0129,-0.4084,-0.3613,0.0312,0.8845,-0.0763,-0.0863,1.1962,0.8905,0.7659,0.7444,0.6402,0.8601,1.431,0.793,0.5866,0.5541,0.4099,0.7397,1.8812,0.6475,-48.394,0.3442,-25.7246,-74.737,0.8241,0.4826,0.3084,0.5855,0.3742,0.6391,1.3204,0.5817,0.9434,0.4405,0.7145,1.6218,0.0026,6.5062,-0.9307,-0.613,-0.1841,0.4282,0.0923,0.0427,?,?,?,?,?,DAVANTI_PANTALONI
-0.1029,0.0143,0.1198,0.611,-2.5358,-0.0904,0.0246,0.1568,0.7554,-2.4223,-0.0452,0.0128,0.1129,0.5472,-2.0977,0.2364,0.0166,0.1289,0.6381,0.0253,1.1379,2.2761,-0.4354,2.0003,-0.3826,-0.1913,0.7639,1.0605,0.9291,1.3882,1.2162,0.8761,0.5836,1.1247,0.8632,1.9272,1.4791,0.7675,0.8196,1.1826,-26.4068,1.4429,-32.2188,-22.3297,0.7829,0.9783,0.2639,1.2495,0.3371,0.2698,0.8089,1.1166,0.9576,1.3805,1.1838,0.8575,0.0008,0.3654,0.1851,0.0224,-0.4696,0.985,-0.5911,-0.527,?,?,?,?,?,DAVANTI_PANTALONI
-0.126,0.0044,0.0663,0.3722,-8.1516,-0.0646,0.0088,0.0938,0.453,-1.4608,0.0004,0.0075,0.0868,0.419,-0.7646,0.1884,0.0053,0.0727,0.3594,0.1163,1.9516,-319.7169,-0.6688,-163.8241,-0.3427,0.0021,0.707,0.7646,0.9123,1.0815,1.2905,1.1932,0.4998,0.5846,0.8324,1.1697,1.6653,1.4237,1.2328,1.8262,-7.011,1.4813,-5.687,-3.8391,0.2209,0.1713,0.1,0.7754,0.4527,0.5838,0.8216,0.8884,1.0357,1.0813,1.2606,1.1658,0.0007,0.2899,0.0406,-0.3253,-0.625,0.913,-0.2765,-0.011,?,?,?,?,?,DAVANTI_PANTALONI
0.3017,9.6923,3.1132,19.9206,-1.2728,-0.7777,16.6003,4.0743,18.2197,-0.9936,0.0125,8.554,2.9247,18.7514,-1.0291,5.1395,9.1278,3.0212,13.8841,0.0445,-0.3879,24.1917,0.0587,-62.3594,-0.1513,0.0024,0.7641,1.0645,1.0305,1.3931,1.3486,0.9681,0.5839,1.1331,1.0618,1.9406,1.8187,0.9371,1.2286,1.1731,-17.2423,0.9548,-14.0347,-14.6985,0.959,0.9484,0.6032,0.9889,0.6289,0.636,1.0934,1.0624,1.4348,0.9716,1.3123,1.3506,0.0043,7.766,-0.5343,-0.4737,-0.031,-0.2004,0.0057,0.012,?,?,?,?,?,DIETRO_PANTALONI
0.5793,10.2295,3.1984,17.7419,-0.4008,-1.6863,7.9113,2.8127,18.721,-2.4948,0.0434,9.0701,3.0117,15.0675,-0.7119,4.9083,6.301,2.5102,17.533,0.0402,-0.3435,13.3492,0.118,-38.8617,-0.3436,0.0088,1.1371,1.062,1.2742,0.9339,1.1205,1.1998,1.293,1.1278,1.6235,0.8722,1.2556,1.4395,0.3798,0.8101,-6.9182,2.1328,-18.2139,-8.5399,2.3644,1.439,0.6934,0.6086,0.2933,0.4818,0.9477,1.1775,1.0119,1.2425,1.0678,0.8594,0.0097,7.4899,-0.0015,0.2783,0.5177,0.0209,-0.5676,0.1442,?,?,?,?,?,DIETRO_PANTALONI
0.0645,14.1765,3.7652,24.697,-1.0936,-0.8315,10.472,3.2361,20.7285,-0.8622,0.0148,9.8113,3.1323,18.1186,-0.8904,5.22,7.9077,2.8121,16.5472,0.034,-0.0776,4.3704,0.0124,-56.3082,-0.1593,0.0028,1.1635,1.202,1.3389,1.0331,1.1508,1.1139,1.3537,1.4449,1.7927,1.0673,1.3243,1.2407,1.3441,1.5116,-22.1631,1.1246,-16.4887,-14.6621,1.0598,1.2308,0.6887,1.1614,0.6498,0.5595,1.1915,1.3631,1.4925,1.144,1.2527,1.095,0.0045,8.0396,-0.1131,0.3657,0.0769,0.4087,0.1251,0.1971,?,?,?,?,?,DIETRO_PANTALONI
0.4387,3.5084,1.8731,9.9545,-1.0205,-0.7918,13.5061,3.6751,16.4954,-0.7595,-0.5195,8.013,2.8307,14.063,-0.7319,4.5794,5.1461,2.2685,10.905,0.0869,-0.554,-0.8444,0.0958,1.5241,-0.1729,-0.1134,0.5097,0.6617,0.8257,1.2983,1.62,1.2478,0.2598,0.4378,0.6818,1.6855,2.6245,1.5571,0.7061,0.846,-4.8423,1.1981,-6.8577,-5.7239,0.5255,0.6068,0.4125,1.1546,0.7849,0.6799,0.6035,0.7079,0.9128,1.173,1.5126,1.2896,0.0056,7.0452,-0.4044,-0.0381,-0.0473,0.9077,0.0782,0.1056,?,?,?,?,?,DIETRO_PANTALONI
-0.1156,0.0065,0.0806,0.4,-3.617,0.1142,0.0109,0.1044,0.5572,-0.1646,0.0722,0.0062,0.0786,0.416,-0.3018,0.2059,0.0128,0.1132,0.6345,0.0277,-1.0122,-1.6023,-0.5616,1.5831,0.5548,0.3505,0.7719,1.0253,0.712,1.3283,0.9224,0.6944,0.5958,1.0512,0.5069,1.7645,0.8508,0.4822,3.9778,3.2493,-17.3253,0.8169,-4.3555,-5.332,0.1811,0.2711,0.1328,1.4974,0.7332,0.4896,0.7178,0.9616,0.6304,1.3396,0.8783,0.6556,0.001,0.3293,-0.8708,-0.1056,-0.7983,0.5434,0.95,0.6047,?,?,?,?,?,DIETRO_PANTALONI
