@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
10.4921,7.1314,2.6705,8.292,0.4291,-0.4563,1.8937,1.3761,4.6574,-1.2413,10.4921,7.1314,2.6705,8.292,0.4291,14.9045,14.3877,3.7931,11.6093,0.4373,-22.9944,1,0.704,-0.0435,-0.0306,0.704,1.9406,1,0.704,0.5153,0.3628,0.704,3.7658,1,0.4957,0.2655,0.1316,0.4957,-2.4161,1,0.6909,-0.4139,-0.2859,0.6909,6.9896,1,0.704,0.1431,0.1007,0.704,1.7804,1,0.7143,0.5617,0.4012,0.7143,0.2969,22.2212,-0.8226,1,0.9999,-0.8226,-0.8258,0.9999,?,?,?,?,?,PANTALONI
9.8691,20.0947,4.4827,13.995,0.2374,-1.3987,4.8565,2.2037,8.9068,-1.2038,9.8691,20.0947,4.4827,13.995,0.2374,14.1582,41.3476,6.4302,19.9752,0.2402,-7.0557,1,0.6971,-0.1417,-0.0988,0.6971,2.0341,1,0.6971,0.4916,0.3427,0.6971,4.1377,1,0.486,0.2417,0.1175,0.486,-0.8953,1,0.6898,-1.117,-0.7705,0.6898,4.5404,1,0.698,0.2202,0.1537,0.698,1.5713,1,0.7006,0.6364,0.4459,0.7006,0.2805,21.7899,-0.9066,1,0.9995,-0.9066,-0.8995,0.9995,?,?,?,?,?,PANTALONI
3.5164,1.3849,1.1768,5.4853,-0.0122,7.3935,2.3216,1.5237,6.9903,0.3622,3.5164,1.3849,1.1768,5.4853,-0.0122,9.0003,3.4795,1.8653,9.0771,0.3213,0.4756,1,0.3907,2.1026,0.8215,0.3907,0.7724,1,0.6309,1.2947,0.8168,0.6309,0.5965,1,0.398,1.6763,0.6672,0.398,-0.0167,1,-0.0154,-59.8691,0.924,-0.0154,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.7847,1,0.6043,1.2744,0.7701,0.6043,0.1782,14.4315,0.5632,1,0.8107,0.5632,0.9374,0.8107,?,?,?,?,?,PANTALONI
2.2248,4.4159,2.1014,10.6941,-0.1395,6.045,4.9555,2.2261,9.4657,0.2512,2.2248,4.4159,2.1014,10.6941,-0.1395,7.1334,9.3434,3.0567,14.2015,0.2252,0.368,1,0.3119,2.7171,0.8474,0.3119,0.944,1,0.6875,1.0593,0.7283,0.6875,0.8911,1,0.4726,1.1222,0.5304,0.4726,-0.4122,1,-0.3171,-2.4262,0.7693,-0.3171,0.7424,1,0.512,1.3469,0.6897,0.512,1.1298,1,0.753,0.8851,0.6665,0.753,0.1363,10.8864,0.6434,1,0.8376,0.6434,0.944,0.8376,?,?,?,?,?,PANTALONI
7.0358,15.714,3.9641,12.0142,0.1318,-1.0577,13.3909,3.6594,13.3202,-0.6009,7.0358,15.714,3.9641,12.0142,0.1318,10.9285,25.5105,5.0508,15.2595,0.2223,-6.6517,1,0.6438,-0.1503,-0.0968,0.6438,1.0833,1,0.7848,0.9231,0.7245,0.7848,1.1735,1,0.616,0.8522,0.5249,0.616,-0.3646,1,0.4179,-2.7425,-1.1462,0.4179,1.663,1,0.7052,0.6013,0.424,0.7052,0.902,1,0.7873,1.1087,0.8729,0.7873,0.2001,17.4263,-0.3223,1,0.9807,-0.3223,-0.2339,0.9807,?,?,?,?,?,PANTALONI
8.4492,22.6568,4.7599,13.7621,0.1241,1.0918,2.3152,1.5216,4.8658,-0.6157,8.4492,22.6568,4.7599,13.7621,0.1241,12.2235,42.1836,6.4949,18.6003,0.1658,7.739,1,0.6912,0.1292,0.0893,0.6912,3.1283,1,0.7329,0.3197,0.2343,0.7329,9.786,1,0.5371,0.1022,0.0549,0.5371,-1.0521,1,0.5275,-0.9505,-0.5014,0.5275,5.2175,1,0.7047,0.1917,0.1351,0.7047,2.8283,1,0.7399,0.3536,0.2616,0.7399,0.24,18.6115,-0.8191,1,0.9996,-0.8191,-0.815,0.9996,?,?,?,?,?,PANTALONI
6.8703,5.8759,2.424,9.5904,0.1467,0.6134,14.6548,3.8282,13.4362,-0.8792,6.8703,5.8759,2.424,9.5904,0.1467,10.5855,9.1311,3.0218,11.6366,0.3192,11.2008,1,0.649,0.0893,0.0579,0.649,0.6332,1,0.8022,1.5793,1.2669,0.8022,0.401,1,0.6435,2.494,1.6049,0.6435,-0.2623,1,0.3022,-3.813,-1.1522,0.3022,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.7138,1,0.8242,1.401,1.1547,0.8242,0.1947,17.1899,-0.8813,1,0.975,-0.8813,-0.8794,0.975,?,?,?,?,?,PANTALONI
9.7521,12.9459,3.598,16.4222,0.0328,-5.5288,4.5617,2.1358,9.7857,-5.8134,9.7521,12.9459,3.598,16.4222,0.0328,15.0085,25.9704,5.0961,23.0669,0.071,-1.7639,1,0.6498,-0.5669,-0.3684,0.6498,1.6846,1,0.706,0.5936,0.4191,0.706,2.8379,1,0.4985,0.3524,0.1757,0.4985,-0.0667,1,0.3161,-14.9886,-4.7386,0.3161,11.8219,1,0.6839,0.0846,0.0578,0.6839,1.6782,1,0.7119,0.5959,0.4242,0.7119,0.3096,25.0928,-0.5592,1,0.991,-0.5592,-0.6583,0.991,?,?,?,?,?,PANTALONI
10.7819,34.9843,5.9148,22.1232,-0.0423,-5.5611,9.5951,3.0976,10.8343,-38.2805,10.7819,34.9843,5.9148,22.1232,-0.0423,16.4292,73.0671,8.5479,28.4604,0.0827,-1.9388,1,0.6563,-0.5158,-0.3385,0.6563,1.9095,1,0.692,0.5237,0.3624,0.692,3.6461,1,0.4788,0.2743,0.1313,0.4788,0.085,1,-0.3498,11.7662,-4.1159,-0.3498,76.9559,1,0.6841,0.013,0.0089,0.6841,2.042,1,0.7773,0.4897,0.3807,0.7773,0.3312,27.2094,-0.8032,1,0.9956,-0.8032,-0.8461,0.9956,?,?,?,?,?,PANTALONI
7.2388,16.9377,4.1155,16.7566,-0.1061,-1.6516,23.0982,4.8061,16.5793,-1.3492,7.2388,16.9377,4.1155,16.7566,-0.1061,11.8147,24.9145,4.9914,18.3327,0.156,-4.3828,1,0.6127,-0.2282,-0.1398,0.6127,0.8563,1,0.8245,1.1678,0.9629,0.8245,0.7333,1,0.6798,1.3637,0.9271,0.6798,0.1689,1,-0.4746,5.9219,-2.8103,-0.4746,2.1465,1,0.6974,0.4659,0.3249,0.6974,1.0107,1,0.914,0.9894,0.9044,0.914,0.2206,18.9522,-0.5364,1,0.9581,-0.5364,-0.5367,0.9581,?,?,?,?,?,PANTALONI
