@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.7529,8.2032,2.8641,12.4499,-0.9185,-0.4025,5.3884,2.3213,7.3521,-1.2509,1.1465,3.6034,1.8983,9.6335,-0.3977,4.4513,1.9299,1.3892,5.6539,0.2057,-4.3554,1.5289,0.3938,-0.351,-0.0904,0.2576,1.2339,1.5088,2.0617,1.2228,1.6709,1.3664,1.5224,2.2765,4.2505,1.4953,2.792,1.8671,1.4589,2.1744,-4.0706,1.4905,-2.7903,-1.8721,1.9867,0.9415,0.9116,0.4739,0.4589,0.9682,1.6934,1.2924,2.202,0.7632,1.3004,1.7039,0.0444,6.4703,0.0418,0.2973,0.3722,-0.1582,0.0774,0.6215,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.2477,1.0532,1.0263,3.3008,0.3002,0.4712,0.6377,0.7986,2.6699,-0.8752,-4.6101,2.3956,1.5478,6.4238,?,5.9335,0.9026,0.9501,2.8872,0.5858,6.8919,-0.7045,0.5473,-0.1022,0.0794,-0.777,1.2851,0.6631,1.0802,0.516,0.8405,1.6291,1.6515,0.4396,1.1668,0.2662,0.7065,2.654,-1.1364,-0.2204,0.3468,0.194,-0.3052,-1.5732,3.3128,0,0.6767,0,0.2043,0,1.2363,0.5138,1.1433,0.4156,0.9248,2.225,0.5144,8.7033,0.7402,0.6189,-0.2141,0.6,-0.4059,-0.8823,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.3253,0.4972,0.7051,4.5504,-0.4286,-0.1787,0.7386,0.8594,3.5092,-4.1219,-0.7404,0.7173,0.8469,4.4754,-4.2033,1.2565,1.0602,1.0297,4.6365,0.0645,-1.8209,-0.4394,0.2589,0.2413,-0.1422,-0.5893,0.8205,0.8326,0.6848,1.0147,0.8346,0.8225,0.6733,0.6932,0.469,1.0297,0.6966,0.6765,0.4834,0.3776,-4.267,0.7811,-8.8269,-11.3,4.6491,3.7033,0.6426,0.7966,0.1382,0.1735,1.2967,1.0168,0.9814,0.7841,0.7568,0.9652,0.0162,1.8825,-0.2609,-0.6819,0.7219,0.17,-0.6645,-0.774,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.1338,0.0105,0.1024,0.4072,-0.2494,-0.2532,0.0145,0.1203,0.5733,-6.3231,0.151,0.0106,0.103,0.4013,-0.1707,0.3611,0.01,0.0999,0.4786,0.1407,-0.5282,0.8857,0.3704,-1.6766,-0.7012,0.4182,0.8518,0.9945,1.0259,1.1675,1.2044,1.0316,0.7256,0.9891,1.0525,1.3632,1.4506,1.0641,0.1642,1.3887,-1.0373,8.4578,-6.3176,-0.747,4.1625,0.9507,0.5851,0.2284,0.1406,0.6155,0.7102,1.0145,0.8507,1.4286,1.1979,0.8385,0.0065,0.5551,-0.0369,-0.0574,0.3505,0.112,-0.7382,0.3693,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1697,4.7376,2.1766,6.5809,-1.49,0.0923,3.1583,1.7772,5.9902,-0.8546,-0.4919,5.895,2.428,11.0348,-1.5394,3.5843,1.2233,1.106,5.5258,0.1758,-1.8387,0.3449,-0.0473,-0.1876,0.0257,-0.1372,1.2248,0.8965,1.9679,0.732,1.6068,2.1952,1.5,0.8037,3.8728,0.5358,2.5818,4.819,1.4267,0.5887,-3.3405,0.4126,-2.3415,-5.6744,0.8182,0.6082,0.3942,0.7433,0.4818,0.6481,1.0986,0.5964,1.1909,0.5429,1.0841,1.997,0.0104,5.4287,0.3544,-0.4533,-0.3557,-0.0447,-0.2287,-0.0764,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.7614,3.0983,1.7602,7.5097,-0.9109,-0.3065,4.6459,2.1554,8.3559,-1.8472,-0.0144,4.2861,2.0703,8.5576,-1.9618,3.285,1.9128,1.3831,5.8854,0.0545,2.4845,52.9626,-0.2318,21.3169,-0.0933,-0.0044,0.8166,0.8502,1.2727,1.0411,1.5585,1.4969,0.6669,0.7229,1.6197,1.084,2.4288,2.2407,0.6603,0.6316,-10.5541,0.9564,-15.9827,-16.7113,1.3391,1.3602,0.6314,1.0157,0.4715,0.4642,0.8987,0.8776,1.276,0.9764,1.4198,1.454,0.0161,5.175,0.6726,-0.5251,-0.0909,-0.0646,-0.3609,-0.264,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0018,0.0071,0.0845,0.3751,-0.9807,-0.3072,0.0028,0.053,0.3794,?,0.0491,0.0128,0.1133,0.4916,-1.0324,0.3413,0.0031,0.0554,0.2521,0.4182,0.0059,-0.0369,-0.0053,-6.2518,-0.9,0.144,1.5938,0.7462,1.5269,0.4682,0.958,2.0461,2.5401,0.5568,2.3313,0.2192,0.9178,4.1867,0.4894,0.7437,-1.025,1.5195,-2.0943,-1.3783,0,0.7829,0.4371,0,0,0.5583,0.9885,0.763,1.4879,0.7719,1.5053,1.9502,0.0062,0.4804,0.4298,0.1242,-0.349,0.0777,-0.8833,0.0407,1013.25,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.6467,13.569,3.6836,12.6418,-0.4268,-1.9173,12.9077,3.5927,14.59,-1.4878,-1.2451,8.4406,2.9053,10.8929,-0.9657,6.1748,4.7272,2.1742,8.6675,0.1585,-0.8589,-1.3225,0.2667,1.5399,-0.3105,-0.2016,1.0253,1.2679,1.6942,1.2366,1.6524,1.3362,1.0512,1.6076,2.8704,1.5292,2.7305,1.7855,0.4334,0.7067,-2.3167,1.6305,-5.3453,-3.2783,1.5108,1.5989,0.8602,1.0583,0.5694,0.538,0.8665,1.1605,1.4585,1.3394,1.6833,1.2568,0.0552,9.5621,0.2156,0.5738,0.5414,-0.2481,-0.3529,0.3159,1013.25,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0283,0.0109,0.1046,0.4452,-1.0596,-0.0446,0.0186,0.1362,0.6826,-2.7103,-0.6319,0.0085,0.0922,0.8046,?,0.6563,0.0093,0.0965,0.4649,0.4364,-0.6344,-0.0448,0.0431,0.0706,-0.068,-0.9628,0.7681,1.135,1.0844,1.4776,1.4117,0.9554,0.59,1.2883,1.1759,2.1834,1.9929,0.9127,0.4593,0.2847,-0.6362,0.6197,-1.3851,-2.2351,1.1749,0,0.262,0,0.223,0,0.6522,0.5533,0.9575,0.8484,1.4682,1.7306,0.0127,0.8314,-0.0772,-0.075,0.0265,0.0435,-0.2452,-0.9544,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
